Hallmark_Name	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S3	S4	S5	S6	S7	S8	S9
HALLMARK_ALLOGRAFT_REJECTION	0.5000964723631008	0.3790781672185882	0.38268267231496994	0.38020201291693884	0.142720355240092	0.12936473869627985	0.12642784105471538	0.42814976376341096	0.4283931413678353	0.42614135942638875	0.09945833256506277	0.5184569887290328	0.09405120226904715	0.09337877745661664	0.33738930068604733	0.3160188410965761	0.3354298932944446	0.5008938146205698	0.5129052223783177	0.49950350485801404	0.5043412047439428	0.38354531397303254	0.38079882023438616	0.3929930006846312
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.2594326087573708	0.38010076796766223	0.38442665037587764	0.3581195207004297	0.15415159682644664	0.1567970609966722	0.13394828310074877	0.13417442405872035	0.12435003979675595	0.11129916315873598	0.2422473903988723	0.2899606463143107	0.2301366025523023	0.23396935163612692	0.23459438348012124	0.20973419750223937	0.2200570672751726	0.2792533472486281	0.2983547412267728	0.25730894591552905	0.22924246669813292	0.36995750836486146	0.3844206718784446	0.4051896756188403
HALLMARK_COMPLEMENT	0.509852026815409	0.45067013683364515	0.44371915681665397	0.44500817521801833	0.21795181192512658	0.21064490896638116	0.21105886229389892	0.4232048679380024	0.41135408334721174	0.4106845633815963	0.21878838330621792	0.5200329545702393	0.20456214225402805	0.2102455318537192	0.36768050203820285	0.36470254278519837	0.37174568386378876	0.5083690084317525	0.5188333187054159	0.49731150613397096	0.5018544490465956	0.43420633672015346	0.44318080463309395	0.46568140049428125
HALLMARK_E2F_TARGETS	-0.159756236475051	-0.2932519147434115	-0.2842044408672667	-0.2727003968521769	0.2415169764520254	0.2562919184944518	0.26361363227779644	0.17720731940426174	0.18364670838718936	0.2115381865291088	0.046466805820734355	-0.21606852440971633	0.051304228715160265	0.04396632894151662	-0.01136592664405366	0.0019713270399289015	-0.019983605522900596	-0.19019276781995373	-0.2125305516104068	-0.16000864193865902	-0.12711512873872832	-0.2773724356116293	-0.2873605249673603	-0.31506773810064903
HALLMARK_G2M_CHECKPOINT	0.017591229629887496	-0.07170017055089889	-0.07472122795354143	-0.056977156081946694	0.3246563338782564	0.32299948590368	0.34275207766369287	0.2593979223346086	0.2610383540074216	0.2905639923426769	0.19339876690221022	-0.022518204589206146	0.19672376904873903	0.19348230986534337	0.1328607353972905	0.14390827115387478	0.1273495726754596	-0.006778428243806476	-0.015871298608818293	0.029091203400794862	0.03639394239649072	-0.06279498995250599	-0.076897123067228	-0.09331931079609972
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.2991120118162355	0.2076660042651307	0.18990027805764229	0.19999699214365702	-0.0010957630953044976	-0.030402883945361683	-0.037276869884183876	0.19444851630361698	0.17947360042766022	0.1807320737231311	-0.015855817960484728	0.32254858738861064	-0.03319201888502445	-0.037324997487906623	0.15372800929279098	0.14069241180645312	0.13283465825095164	0.2956712999997209	0.32307078970659364	0.30444631424246354	0.30888071405525586	0.191795815955862	0.19264124519295153	0.21363839060998427
HALLMARK_INFLAMMATORY_RESPONSE	0.432254670382265	0.33341668714712763	0.32733478569186547	0.33431470262765167	0.019428277395277166	0.007251868301759871	0.020741123016554484	0.3436808849913054	0.3250105042791678	0.3315195454669161	0.036838817199934204	0.4452596133678672	0.026602390409866238	0.029165000456929484	0.25932917922795473	0.2469010750836793	0.25681467148478726	0.4282007703028149	0.44618999307646107	0.42062415237950385	0.4312580737443659	0.32117095243270133	0.3235912258107412	0.33734170339606745
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.684932261899351	0.4324119883674354	0.42598907818311355	0.42610814064219005	-0.20044410276093158	-0.19895069156156572	-0.20837016496042188	0.6062765820952853	0.5221629369518033	0.5353123654613802	-0.20895394121831343	0.6735468721811293	-0.20839162223702545	-0.22080195075228845	0.21997706053364788	0.19539864543858768	0.2760770247640594	0.6347098046343516	0.67007404899206	0.6080302918068056	0.6798896190069632	0.40825717897150826	0.40809480492777855	0.47830769369084575
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.6144982812697489	0.42165349710552397	0.4109809203482527	0.412843466704499	-0.12788809315906752	-0.13639050899122612	-0.140862044161162	0.5496257046541781	0.4857056475567438	0.49145666924421105	-0.14152853664950532	0.611151641920961	-0.14005512446058374	-0.14918768525927456	0.2536871921923522	0.2229920059469897	0.2862864851385442	0.583633572499118	0.6075667921624363	0.5628587151151893	0.6142432175909046	0.39326190089384855	0.3953101162364299	0.4509190742216364
HALLMARK_KRAS_SIGNALING_UP	0.15063250145798443	0.2715826373487227	0.262550548300401	0.26571076705116464	-0.08282234435822153	-0.09684298231328667	-0.07883912626965255	0.04992400787228426	0.045117164596726544	0.05757337636466819	0.10117262427457653	0.14468777578449993	0.10606120790699881	0.11698837901691167	0.18853766566187558	0.17505817235435028	0.18738289775027236	0.155941265220371	0.16022669376579177	0.145508119923787	0.15741075799649468	0.25206746291810217	0.2737447087428152	0.25401516400308577
HALLMARK_MITOTIC_SPINDLE	-0.04534158987517858	-0.11320598472544238	-0.12738073872168748	-0.11680126851063323	0.07632117309213424	0.0715412706484223	0.07312053150514697	-0.02051579568366172	-0.015877207974080862	0.0017675800180129773	-0.019285415527519962	-0.044516832672275373	-0.017186042851962933	-0.023687732058770748	-0.08520214752964332	-0.08122830377340311	-0.09147291658824441	-0.04627601465211021	-0.044484626751633324	-0.024682738294537196	-0.03735910383494322	-0.11961119735674478	-0.12461724168033465	-0.13346680615308532
